FOUND      [title_year  ] conf=0.93 | 10_1021_jacs_9b00574           | [2017] A novel route to prepare a Ti3SnC2/Al2O3 composite
FOUND      [xref_title_year] conf=0.97 | 10_1021_jacs_9b00574           | [2007] A new ternary nanolaminate carbide: Ti3SnC2
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [2017] Stable colloids in molten inorganic salts
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [1981] The structure of molten zinc chloride
FOUND      [xref_title_year] conf=1.00 | 10_1021_jacs_9b00574           | [1994] EXAFS studies of molten ZnCl2, RbCl and Rb2ZnCl4
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [2006] ZnCl2/phosphonium halide: An efficient Lewis acid/base catal
FOUND      [title_year  ] conf=0.94 | 10_1021_jacs_9b00574           | [2018] Preparation of TiC/Ti2AlC coating on carbon fiber and invest
FOUND      [title_year  ] conf=0.92 | 10_1021_jacs_9b00574           | [2017] Synthesis and oxidation resistance of V2AlC powders by molte
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [2005] First principles methods using CASTEP
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_9b00574           | [2002] First-principles simulation : ideas , illustrations and the 
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [1996] Generalized gradient approximation made simple
FOUND      [title_year  ] conf=0.86 | 10_1021_jacs_9b00574           | [1992] Atoms, molecules, solids, and surfaces: Applications of the 
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [1965] Self-Consistent Equations Including Exchange and Correlation
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [1990] Soft self-consistent pseudopotentials in a generalized eigen
FOUND      [title_year  ] conf=0.95 | 10_1021_jacs_9b00574           | [1995] Ab initio force-constant method for phonon dispersions in al
NOT_FOUND  [not_found   ] conf=0.00 | 10_1021_jacs_9b00574           | [1997] First-principles determination of the soft mode in cubic ZrO
           cited in: "[CITATION #b33][CITATION] The cleavage energies E of different M and Zn atomic l"
NOT_FOUND  [not_found   ] conf=0.00 | 10_1021_jacs_9b00574           | [2006] General trend of the mechanical properties of the ternary ca
           cited in: "[CITATION #b33][CITATION #b34] The cleavage energies E of different M and Zn ato"
FOUND      [title_year  ] conf=0.96 | 10_1021_jacs_9b00574           | [2015] Thermodynamic description of the Al-C-Ti system
FOUND      [title_only  ] conf=0.99 | 10_1021_jacs_9b00574           | [2010] Thermodynamic assessment of the V-Zn system supported by key
FOUND      [title_year  ] conf=0.96 | 10_1021_jacs_9b00574           | [2005] Thermodynamic evaluation of the C-Co-Zn system
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [2019] Tin+1Cn MXene with fully saturated and thermally stable Cl t
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [2016] X-ray photoelectron spectroscopy of select multi-layered tra
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [1993] ARXPS-analysis of sputtered TiC, SiC and Ti0.5Si0.5C layers
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [1996] Preparation of a model Ziegler-Natta catalyst: Electron irra
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [1983] Solid state effects in the electronic structure of TiCl4 stu
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_9b00574           | [1967] The Solution of Zinc in Fused Zinc Chloride
FOUND      [title_year  ] conf=0.94 | 10_1021_jacs_9b00574           | [1961] A study of the rate of isotopic exchange for Zn 65 in molten
NOT_FOUND  [not_found   ] conf=0.00 | 10_1103_physrevlett_105_136805 | [1976] Physics and chemistry of materials with layered structures: 
           cited in: "The transition-metal dichalcogenide semiconductor MoS 2 has attracted great inte"
FOUND      [title_only  ] conf=0.98 | 10_1103_physrevlett_105_136805 | [1965] Proc. R. Soc. London, Ser. A
FOUND      [title_only  ] conf=0.93 | 10_1103_physrevlett_105_136805 | [1967] Proc. Phys. Soc. London
FOUND      [title_year  ] conf=1.00 | 10_1103_physrevlett_105_136805 | [1995] Gmelin handbook of inorganic and organometallic chemistry
FOUND      [title_year  ] conf=0.96 | 10_1103_physrevlett_105_136805 | [2005] Proc. Nat. Acad. Sci. U.S.A
FOUND      [title_year  ] conf=1.00 | 10_1103_physrevlett_105_136805 | [2001] Basic semiconductor physics
FOUND      [title_only  ] conf=0.98 | 10_1103_physrevlett_97_187401  | [2005] Proc. Natl. Acad. Sci
FOUND      [title_year  ] conf=0.96 | 10_1111_j_0956-7976_2004_00715 | [1953] Le comportement de l'homme rationnel devant le risque ´, cri
FOUND      [title_year  ] conf=1.00 | 10_1111_j_0956-7976_2004_00715 | [1998] Accidents and decision making under uncertainty: A compariso
FOUND      [title_year  ] conf=0.98 | 10_1111_j_0956-7976_2004_00715 | [2003] Small feedback-based decisions and their limited corresponde
FOUND      [title_year  ] conf=1.00 | 10_1111_j_0956-7976_2004_00715 | [2000] Prospect theory in the wild: Evidence from the field
